date,media_cost_1,media_cost_2,media_cost_3,media_cost_4,holidays,trend,competitor_spend,weekly,yearly,covid_index,promo_events,intercept
2019-07-28,0.0,0.0,0.0,0.0,0.0,7116.331697869129,-1514.8125164572868,6546.215846533361,-2779.961694986115,0.0,0.0,1921.4749842330652
2019-08-04,0.0,0.0,0.0,0.0,0.0,7124.896766668399,-60.18796736730167,6546.215846533361,-3704.217908614654,0.0,0.0,1921.4749842330652
2019-08-11,0.0,0.0,0.0,0.0,0.0,7133.461835467681,-22.56013572464378,6546.215846533361,-4689.334226645962,0.0,0.0,1921.4749842330652
2019-08-18,0.0,0.0,0.0,0.0,0.0,7142.026904267009,-41.36430845129563,6546.215846533359,-5575.467549241991,0.0,0.0,1921.4749842330652
2019-08-25,0.0,0.0,0.0,0.0,0.0,7150.591973066275,-86.31407574373563,6546.215846533361,-6623.099927131385,0.0,0.0,1921.4749842330652
2019-09-01,0.0,0.0,0.0,0.0,2375.702903004717,7159.157041865557,-117.63812513035961,6546.215846533361,-7940.7045806064425,0.0,0.0,1921.4749842330652
2019-09-08,0.0,0.0,0.0,0.0,0.0,7167.7221093282005,-112.552229708955,6546.215846533361,-8565.31723602732,0.0,0.0,1921.4749842330652
2019-09-15,0.0,0.0,0.0,0.0,0.0,7176.287176790899,-63.31062921128689,6546.215846533361,-6691.127946485205,0.0,0.0,1921.4749842330652
2019-09-22,777.2694420819348,0.0,2080.2520916571493,0.0,0.0,7184.8522442534995,-63.06705184436178,6546.215846533359,-1433.2627629867525,0.0,26049.000970782923,1921.4749842330652
2019-09-29,1417.1783001479778,0.0,1517.4858234790686,0.0,0.0,7193.417311716158,-41.374051545972804,6546.215846533359,5551.675188660325,0.0,26049.000970782923,1921.4749842330652
2019-10-06,323.2521563921101,0.0,1197.2833907553309,0.0,0.0,7201.982379178779,-268.00330528083583,6546.215846533361,10685.330533610137,0.0,0.0,1921.4749842330652
2019-10-13,112.03972710269701,0.0,1026.8507388106327,0.0,-3692.0947875301613,7210.547446641416,-929.7932681228585,6546.215846533361,11267.75004493725,0.0,0.0,1921.4749842330652
2019-10-20,48.91642961620716,0.0,1000.0521086019892,0.0,0.0,7219.112513509677,-4015.6700581552013,6546.215846533359,7869.969193042539,0.0,0.0,1921.4749842330652
2019-10-27,24.674123302630605,0.0,873.7338485814341,0.0,0.0,7227.677580377895,-1860.5754603554324,6546.215846533361,3814.1707974341966,0.0,0.0,1921.4749842330652
2019-11-03,13.755173100188417,0.0,1031.5613617013191,0.0,0.0,7236.242647246108,-616.3822700997607,6546.215846533361,2129.5173262147405,0.0,0.0,1921.4749842330652
2019-11-10,8.254626286019022,0.0,886.920767057095,0.0,2400.4814349274566,7244.807714114345,-636.1315230100821,6546.215846533361,3012.84976389479,0.0,0.0,1921.4749842330652
2019-11-17,3.7755895841642206,0.0,738.9705041380583,0.0,0.0,7253.3727809825,-310.7267754395762,6546.215846533361,4271.740016424688,0.0,0.0,1921.4749842330652
2019-11-24,0.0,0.0,1408.447149500439,0.0,4899.076934846267,7261.937847850623,-1147.1860681039047,6546.215846533361,4048.476790049135,0.0,0.0,1921.4749842330652
2019-12-01,0.0,0.0,987.9357038732967,0.0,0.0,7270.502914718739,-357.4156851318644,6546.215846533361,2801.261600770331,0.0,0.0,1921.4749842330652
2019-12-08,0.0,0.0,987.187168651013,0.0,0.0,7279.067981586863,-617.6634870497901,6546.215846533361,2531.0309767651806,0.0,0.0,1921.4749842330652
2019-12-15,0.0,0.0,916.1053691052582,0.0,0.0,7287.633048454978,-231.69079141957613,6546.215846533361,4328.472564588218,0.0,0.0,1921.4749842330652
2019-12-22,0.0,0.0,964.6919435927759,0.0,13520.200175339436,7296.198115323035,-605.0218217063549,6546.215846533361,7023.476816331617,0.0,26049.000970782923,1921.4749842330652
2019-12-29,0.0,0.0,648.6638571046276,0.0,401.82807055849474,7304.7631821911655,-655.3984927338921,6546.215846533361,8321.288107371658,0.0,0.0,1921.4749842330652
2020-01-05,0.0,0.0,969.1182749712923,0.0,0.0,7313.328246269002,-436.63678795072866,6546.215846533361,7068.479495423659,0.0,0.0,1921.4749842330652
2020-01-12,0.0,0.0,825.6184646610855,0.0,0.0,7321.893310346878,-218.44018265882636,6546.215846533361,4245.621605883526,0.0,0.0,1921.4749842330652
2020-01-19,0.0,0.0,425.97409769584215,0.0,-4611.965409030817,7330.458374424774,-67.48067373305206,6546.215846533361,1838.7554235106861,124.42015028708668,0.0,1921.4749842330652
2020-01-26,0.0,0.0,266.9089085557761,0.0,0.0,7339.02343850267,-151.32487497616262,6546.215846533361,952.8662698204582,373.26045086126265,0.0,1921.4749842330652
2020-02-02,0.0,0.0,170.80456015293626,0.0,0.0,7347.588502580524,-184.28089272118874,6546.215846533359,1049.835772795882,373.26045086126265,0.0,1921.4749842330652
2020-02-09,0.0,0.0,110.40448098678154,0.0,0.0,7356.153565772657,-200.00624752990154,6546.215846533361,797.0920293420432,559.8906762918965,0.0,1921.4749842330652
2020-02-16,0.0,0.0,65.99607074798523,0.0,1522.5343051554942,7364.718628964778,-313.3622825497102,6546.215846533361,-551.9500772834592,746.5209017225253,0.0,1921.4749842330652
2020-02-23,0.0,0.0,45.163990667877776,0.0,0.0,7373.283692156944,-173.03736146390634,6546.215846533361,-2539.930124756252,1057.5712774402393,0.0,1921.4749842330652
2020-03-01,0.0,0.0,14.414312518013011,0.0,0.0,7381.848755349077,-403.1351569037882,6546.215846533361,-3986.3197644035263,1679.672028875682,0.0,1921.4749842330652
