,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,median
media_cost_1,0.113,0.183,0.0,0.232,0.003,0.002,2521.0,4252.0,1.0,0.066
media_cost_2,0.096,0.171,0.0,0.227,0.002,0.001,4702.0,6248.0,1.0,0.046
media_cost_3,0.168,0.25,0.0,0.383,0.003,0.002,3959.0,5525.0,1.0,0.092
media_cost_4,0.053,0.094,0.0,0.111,0.001,0.001,5262.0,6201.0,1.0,0.03
